name,price,original_price,rating,discount,details
ASUS ExpertBook P1 (i7 14th Gen) Intel Core 7 240H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S7208...,67990.0,99990.0,4.6,32% off,"{'details': ['Intel Core 7 Processor', '16 GB DDR5 RAM', '64 bit Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Limited Warranty']}"
ASUS ExpertBook P1 (i7 14th Gen) Intel Core 7 240H - (32 GB/512 GB SSD/Windows 11 Home) P1503CVA-S7209...,79990.0,129990.0,,38% off,"{'details': ['Intel Core 7 Processor', '32 GB DDR5 RAM', '64 bit Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Limited Warranty']}"
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,41140.0,48900.0,4.3,15% off,"{'details': ['AMD Ryzen 3 Quad Core Processor', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Microsoft Office 2019 & Office 365, HP Documentation, HP BIOS recovery, HP Smart', '1 Year Onsite Warranty']}"
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,39990.0,44999.0,4.3,11% off,"{'details': ['Intel Core i3 Processor (13th Gen)', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']}"
HP 15 (i5 14th Gen) Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0665TU / 15-fd0640TU /...,62990.0,74990.0,3.9,16% off,"{'details': ['Intel Core 5 Processor', '16 GB DDR4 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'MS Office Home 2024 + MISC PC Game Pass DA 3M', '1 Year Onsite Warranty']}"
ASUS ExpertBook P1 (i7 14th Gen) Intel Core 7 240H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S6149...,79990.0,129990.0,,38% off,"{'details': ['Intel Core 7 Processor', '32 GB DDR5 RAM', '64 bit Windows 11 Home Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Limited Warranty']}"
Acer Aspire 3 Intel Pentium Quad Core 12th Gen N100 - (16 GB/512 GB SSD/Windows 11 Home) A324-31 Thin ...,36990.0,,4.1,,"{'details': ['Intel Pentium Quad Core Processor (12th Gen)', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']}"
Ultimus APEX Pro Intel Pentium Quad Core N4200 - (4 GB/128 GB SSD/128 GB EMMC Storage/Windows 11 Home)...,14990.0,27990.0,3.9,46% off,"{'details': ['Intel Pentium Quad Core Processor', '4 GB DDR3 RAM', '64 bit Windows 11 Home Operating System', '128 GB SSD', '35.81 cm (14.1 Inch) Display', 'Pre loaded windows APP', '1 Year Manufacturing Warranty (Battery And Charger Only 6 Month Warranty)']}"
Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home...,40990.0,70990.0,4.1,42% off,"{'details': ['Intel Core i3 Processor (13th Gen)', '16 GB DDR4 RAM', '64 bit Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Microsoft Office 2021, Windows 11 Home', '3 Years Onsite Warranty']}"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,27990.0,33999.0,3.8,17% off,"{'details': ['Intel Celeron Dual Core Processor', '8 GB DDR4 RAM', '64 bit Windows 11 Home Operating System', '128 GB SSD', '29.46 cm (11.6 Inch) Display', '1 Year Warranty']}"
